2026-04-12 15:41:18,273 | INFO | __main__ | System initialized
2026-04-12 15:41:18,273 | WARNING | __main__ | Warning example
2026-04-12 15:41:18,273 | ERROR | __main__ | Error example
2026-04-12 16:35:19,029 | INFO | __main__ | Loaded config from config/clinical_rules.yaml
2026-04-13 11:41:30,276 | INFO | src.utils.config_loader | Loaded config from config/clinical_rules.yaml
2026-04-13 11:41:30,277 | INFO | __main__ | Generated 4000 normal patient records
2026-04-13 11:41:30,282 | INFO | __main__ | Generated 750 high-risk patient records
2026-04-13 11:41:30,282 | INFO | __main__ | Generated 250 broken/corrupt patient records
2026-04-13 11:41:30,283 | INFO | __main__ | Final dataset: 5000 total rows | Normal: 4000 | Risk: 750 | Broken: 250
2026-04-13 11:41:30,305 | INFO | __main__ | Dataset saved to data/raw/synthetic_data.csv
2026-04-14 11:00:32,295 | INFO | src.utils.config_loader | Loaded config from config/clinical_rules.yaml
2026-04-14 11:00:32,465 | INFO | __main__ | Record validated cleanly
2026-04-14 11:00:32,466 | ERROR | __main__ | Hard rejection: Value error, hemoglobin=150.0 is outside biological limits absolute_min=0.0, absolute_max=30.0
2026-04-14 11:00:32,466 | INFO | __main__ | Record validated cleanly
2026-04-14 11:06:46,725 | INFO | src.utils.config_loader | Loaded config from config/clinical_rules.yaml
2026-04-14 11:06:46,742 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:06:46,742 | ERROR | src.data.validator | Hard rejection: Value error, hemoglobin=150.0 is outside biological limits absolute_min=0.0, absolute_max=30.0
2026-04-14 11:06:46,743 | ERROR | src.data.validator | Hard rejection: Field required
2026-04-14 11:06:46,743 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:07:03,673 | INFO | src.utils.config_loader | Loaded config from config/clinical_rules.yaml
2026-04-14 11:07:03,691 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:07:03,692 | ERROR | src.data.validator | Hard rejection: Value error, hemoglobin=150.0 is outside biological limits absolute_min=0.0, absolute_max=30.0
2026-04-14 11:07:03,692 | ERROR | src.data.validator | Hard rejection: Field required
2026-04-14 11:07:03,692 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:10:45,492 | INFO | src.utils.config_loader | Loaded config from config/clinical_rules.yaml
2026-04-14 11:10:45,510 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:10:45,511 | ERROR | src.data.validator | Hard rejection: Value error, hemoglobin=150.0 is outside biological limits absolute_min=0.0, absolute_max=30.0
2026-04-14 11:10:45,511 | ERROR | src.data.validator | Hard rejection: Field required
2026-04-14 11:10:45,511 | WARNING | src.data.validator | Critical range flag: hemoglobin=25.0 critical_low=8.0, critical_high=20.0
2026-04-14 11:10:45,511 | WARNING | src.data.validator | Record accepted with flags: ['hemoglobin_critical_range']
2026-04-14 11:12:31,897 | INFO | src.utils.config_loader | Loaded config from config/clinical_rules.yaml
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
2026-04-14 11:12:31,940 | INFO | src.data.validator | Record validated cleanly
